movieid,director
1,John Lasseter
2,Joe Johnston
3,Howard Deutch
4,Forest Whitaker
5,Charles Shyer
6,Michael Mann
7,Sydney Pollack
8,Peter Hewitt
9,Peter Hyams
10,Martin Campbell
11,Rob Reiner
12,Mel Brooks
13,Simon Wells
14,Oliver Stone
15,Renny Harlin
16,Martin Scorsese
17,Ang Lee
18,Allison Anders
19,Steve Oedekerk
20,Joseph Ruben
21,Barry Sonnenfeld
22,Jon Amiel
23,Richard Donner
24,Victor Salva
25,Mike Figgis
26,Oliver Parker
27,Lesli Linka Glatter
28,Roger Michell
29,Not found
30,Yimou Zhang
31,John N. Smith
32,Terry Gilliam
34,Chris Noonan
36,Tim Robbins
38,Andy Tennant
39,Amy Heckerling
40,Darrell Roodt
41,Richard Loncraine
42,Albert Hughes
43,Michael Hoffman
44,Paul W.S. Anderson
45,Gus Van Sant
46,Jocelyn Moorhouse
47,Not found
48,Mike Gabriel
49,Patricia Rozema
50,Bryan Singer
52,Woody Allen
53,Gianni Amelio
54,Holly Goldberg Sloan
55,Ulu Grosbard
57,Jodie Foster
58,Stefano Veneruso
60,Frank Oz
61,John Schlesinger
62,Stephen Herek
63,Paris Barclay
64,Bill Bennett
65,Jason Bloom
66,"July 15, 2019 (United Kingdom)"
68,Not found
69,F. Gary Gray
70,Robert Rodriguez
71,Andrew Sipes
72,Noah Baumbach
73,Claude Lelouch
74,Michael Goldenberg
75,Steve Miner
76,Christian Duguay
77,Susanne Ofteringer
78,Sean Penn
79,Brian Gibson
80,Jafar Panahi
81,Gary Fleder
82,Marleen Gorris
83,Tim Reid
85,Philip Haas
86,Ridley Scott
87,Ken Kwapis
88,Penelope Spheeris
89,John Badham
92,Stephen Frears
93,Wes Craven
94,Ted Demme
95,John Woo
96,Kenneth Branagh
97,George Tillman Jr.
99,Nick Broomfield
100,Harold Becker
101,Wes Anderson
102,Nick Castle
103,John Dahl
104,Dennis Dugan
105,Clint Eastwood
106,Doris Dörrie
107,Brian Henson
108,Alan Levy
110,Mel Gibson
111,Martin Scorsese
112,Not found
113,Barbet Schroeder
116,Jon Blair
117,Benjamin Ross
118,Eric Schaeffer
119,Andrew Davis
121,John N. Smith
122,Reginald Hudlin
123,Kar-Wai Wong
125,David O. Russell
126,Peter MacDonald
128,Michel Negroponte
129,Andrew Payne
132,William Friedkin
135,David S. Ward
137,Dirk Shafer
140,Jon Avnet
141,Mike Nichols
144,Edward Burns
145,Michael Bay
146,Christopher Cain
147,Scott Kalvert
148,Mike Newell
149,Hal Hartley
150,Ron Howard
151,Michael Caton-Jones
152,Abel Ferrara
153,Joel Schumacher
154,Luis Buñuel
155,John Boorman
156,Paul Auster
157,Michael Moore
158,Brad Silberling
159,Spike Lee
160,Frank Marshall
161,Tony Scott
162,Terry Zwigoff
163,Robert Rodriguez
164,Carl Franklin
165,John McTiernan
166,Gregg Araki
168,Jerry Zucker
169,Dwight H. Little
170,Iain Softley
171,Christopher Ashley
172,Robert Longo
173,Danny Cannon
174,John Fortenberry
175,Larry Clark
176,Tom DiCillo
177,Clive Barker
178,Contact info
179,Antonia Bird
180,Kevin Smith
181,Bryan Spicer
183,Anthony Waller
184,Michael Almereyda
185,Irwin Winkler
186,Chris Columbus
187,Daisy von Scherler Mayer
188,Gregory Widen
189,Norman René
190,Todd Haynes
191,Roland Joffé
193,Paul Verhoeven
194,Wayne Wang
195,Lasse Hallström
196,Roger Donaldson
198,Kathryn Bigelow
199,Jacques Demy
201,Martha Coolidge
202,Agnieszka Holland
203,Beeban Kidron
204,Geoff Murphy
205,Diane Keaton
206,Douglas Keeve
207,Alfonso Arau
208,Kevin Reynolds
209,"February 14, 2024 (United Kingdom)"
210,Walter Hill
211,Mike Figgis
212,Greg Beeman
213,Nikita Mikhalkov
214,Milcho Manchevski
215,Richard Linklater
216,Tamra Davis
217,Guy Ferland
218,Herbert Ross
219,Peter Horton
220,Stuart Gordon
222,Pat O'Connor
223,Kevin Smith
224,Jeremy Leven
225,Barry Levinson
227,John Badham
228,Jack Baran
229,Roman Polanski
230,Taylor Hackford
231,Contact info
232,Not found
233,Atom Egoyan
234,Garry Marshall
235,Tim Burton
236,Lawrence Kasdan
237,Billy Crystal
238,Phillip Borsos
239,Kevin Lima
240,Brett Leonard
241,Carlo Carlei
242,Gérard Corbiau
243,Mark Lewis
246,Steve James
247,Peter Jackson
248,Randall Miller
249,Bernard Rose
250,Steven Brill
251,J.F. Lawton
252,Fred Schepisi
253,Neil Jordan
254,James Ivory
255,James Melkonian
256,Ivan Reitman
257,Arne Glimcher
258,Michael Gottlieb
259,Barbet Schroeder
260,George Lucas
261,Gillian Armstrong
262,Alfonso Cuarón
263,Ken Loach
265,Alfonso Arau
266,Edward Zwick
267,Nick Castle
269,Not found
270,Glenn Gordon Caron
271,Stephen Gyllenhaal
272,Nicholas Hytner
273,Kenneth Branagh
274,James Orr
275,Nora Ephron
276,Richard Benjamin
277,Les Mayfield
278,David Frankel
279,David Frankel
280,Marc Rocco
281,Robert Benton
282,Michael Apted
283,Nick Gomez
284,Not found
285,Vadim Jean
287,Alan Jacobs
288,Oliver Stone
289,Norman Jewison
290,Lee Tamahori
291,Anne Goursaud
292,Wolfgang Petersen
293,Luc Besson
294,Mira Nair
295,Joshua Brand
296,Quentin Tarantino
298,Not found
299,Antonia Bird
300,Robert Redford
301,Not found
302,Patrice Chéreau
303,Sam Raimi
304,Peter Yates
305,Robert Altman
306,Not found
307,Not found
308,Not found
310,Fred Gerber
311,George Mihalka
312,Harold Ramis
313,Richard Rich
314,John Sayles
315,Luis Llosa
316,Roland Emmerich
317,John Pasquin
318,Frank Darabont
319,Danny Boyle
320,Scott McGehee
321,Tomás Gutiérrez Alea
322,Kathleen Robertson
324,Geoff Burton
325,Kelly Makin
326,"November 30, 2022 (United Kingdom)"
327,Rachel Talalay
328,Ernest R. Dickerson
329,David Carson
330,Rusty Cundieff
331,Contact info
332,John Carpenter
333,Peter Segal
334,Louis Malle
335,Steven Soderbergh
336,Frank Darabont
337,Lasse Hallström
338,Brett Leonard
339,Jon Turteltaub
340,Jon Avnet
341,Mina Shum
342,P.J. Hogan
343,Melanie Mayron
344,Tom Shadyac
345,Stephan Elliott
346,Iain Softley
347,Roman Polanski
348,Woody Allen
349,Phillip Noyce
350,Joel Schumacher
351,Jessie Nelson
352,Spike Lee
353,Alex Proyas
354,Ron Shelton
355,Brian Levant
356,Robert Zemeckis
357,Mike Newell
358,John Singleton
359,Darnell Martin
360,Charles Shyer
361,Andrew Bergman
362,Stephen Sommers
363,Ray Müller
364,1994 (Australia)
365,Bernardo Bertolucci
366,Wes Craven
367,Chuck Russell
368,Richard Donner
369,Alan Rudolph
370,Peter Segal
371,Ron Howard
372,Ben Stiller
373,John Dahl
374,Donald Petrie
376,Curtis Hanson
377,Jan de Bont
378,Ron Underwood
379,Peter Hyams
380,James Cameron
381,Luis Mandoki
382,Mike Nichols
383,Lawrence Kasdan
384,Damian Harris
385,Suri Krishnamma
386,Jefery Levy
387,Keenen Ivory Wayans
388,Mark Christopher
389,Yves Angelo
390,Russ Meyer
391,Doug McHenry
393,Steven E. de Souza
405,Andrew Morahan
406,Michael Corrente
407,John Carpenter
408,John G. Avildsen
409,Jeff Pollack
410,Barry Sonnenfeld
412,Martin Scorsese
413,Michael Lehmann
414,Paul Michael Glaser
415,John Badham
416,Jonathan Kaplan
417,Whit Stillman
418,Toby Whithouse
