movieId,director
53140,Peter Winther
53143,Hal Hartley
53161,Park Chan-wook
53280,Nicholas Mastandrea
53318,Sean Ellis
53322,Steven Soderbergh
53326,David Moreau
53355,Leander Haußmann
53435,Eli Roth
53447,Gus Van Sant
53450,Henning Schellerup
53453,Luigi Cozzi
53460,Ash Brannon
53464,Flint Dille
53466,Andrew Fleming
53468,Andrew Currie
53519,Quentin Tarantino
53550,Werner Herzog
53574,Jake Kasdan
53578,"June 30, 2022 (United Kingdom)"
53808,Steve Rash
53883,Gilles Kepel
53894,Michael Moore
53921,Michael Winterbottom
53953,Mikael Håfström
53956,Frank Oz
53972,Len Wiseman
53974,Ken Kwapis
53993,Tom Shadyac
53996,Michael Bay
54001,David Yates
54004,Dennis Dugan
54116,Mark Fergus
54121,Delmer Daves
54185,Jennifer Baichwal
54190,Julie Taymor
54256,Akiva Schaffer
54259,Matthew Vaughn
54272,David Silverman
54274,Chris Sivertson
54276,Scott Hicks
54281,Jon Poll
54286,Paul Greengrass
54354,Micha X. Peled
54372,Guillaume Canet
54503,Greg Mottola
54617,James Huth
54648,Brett Ratner
54686,Doug Lefler
54732,Robert Ben Garant
54734,Joe Nussbaum
54736,Peter Berg
54745,Jeffrey Blitz
54768,Fred Savage
54771,Oliver Hirschbiegel
54780,Shari Springer Berman
54785,Rob Zombie
54787,James Wan
54796,Julie Delpy
54881,Seth Gordon
54908,Gérard Krawczyk
54910,Scott Glosserman
54934,Bob Odenkirk
54962,John August
54995,Robert Rodriguez
54997,James Mangold
54999,Michael Davis
55020,David Wain
55036,Robert Harmon
55052,Joe Wright
55061,Thomas Bangalter
55067,Hans-Christian Schmid
55069,Cristian Mungiu
55071,Charles Ferguson
55080,Neil Jordan
55094,Paul Haggis
55110,Rod Hardy
55112,Kern Konwiser
55116,Richard Shepard
55118,David Cronenberg
55156,Henriette Mantel
55167,Michael Arias
55190,Alek Keshishian
55205,Steve Buscemi
55207,Sean Ellis
55232,Russell Mulcahy
55241,Craig Gillespie
55245,Mark Helfrich
55247,Sean Penn
55250,Andy Fickman
55253,Ang Lee
55259,David L. Cunningham
55261,Bobby Farrelly
55267,Peter Hedges
55269,Wes Anderson
55272,James Gray
55274,Shekhar Kapur
55276,Tony Gilroy
55278,Kenneth Branagh
55280,Craig Gillespie
55282,David Slade
55290,Ben Affleck
55292,Tom Brady
55294,Allan Moyle
55363,Andrew Dominik
55391,Kimberly Williams-Paisley
55442,Vincent Paronnaud
55444,Anton Corbijn
55451,Robin Swicord
55492,Larry Fessenden
55553,Jonathan King
55555,Fatih Akin
55577,Darren Lynn Bousman
55620,Daniel G. Karslake
55687,Amir Bar-Lev
55721,José Padilha
55729,M. Cahill
55765,Ridley Scott
55768,Simon J. Smith
55805,Sidney Lumet
55814,Not available
55820,Ethan Coen
55830,Michel Gondry
55844,Jamie Babbit
55854,John Ford
55872,Kirsten Sheridan
55908,Richard Schenkman
55946,Robert Redford
55995,Robert Zemeckis
56003,Richard Kelly
56012,J.M. Kenny
56022,Bruce Pittman
56060,Not available
56145,Frank Darabont
56152,Kevin Lima
56156,Xavier Gens
56169,Joby Harold
56171,Chris Weitz
56174,Francis Lawrence
56176,Tim Hill
56251,Dwayne Carey-Hill
56274,Noah Baumbach
56286,Todd Haynes
56333,Tamara Jenkins
56336,Joe Lynch
56339,"March 16, 2023 (United Kingdom)"
56367,Jason Reitman
56379,James D. Scurlock
56389,Kar-Wai Wong
56563,Gary Hustwit
56587,Rob Reiner
56607,Marc Forster
56620,Dario Piana
56715,Goran Dukic
56757,Tim Burton
56775,Jon Turteltaub
56782,Paul Thomas Anderson
56788,Mike Nichols
56801,Colin Strause
56805,Jake Kasdan
56837,Kenneth Branagh
56869,Heitor Dhalia
56908,Justin Theroux
56915,Antonia King
56921,Félix Enríquez Alcalá
56941,Richard LaGravenese
56949,Anne Fletcher
57147,Woody Allen
57183,Not available
57243,Eran Kolirin
57274,Jaume Balagueró
57326,Uwe Boll
57368,Matt Reeves
57421,Adam Green
57499,Shane Kartz
57502,Tatsuo Satô
57504,Not available
57522,David E. Talbert
57526,Gregory Hoblit
57528,Sylvester Stallone
57532,Jason Friedberg
57536,Fred Wolf
57637,David Bruckner
57640,Guillermo del Toro
57669,Martin McDonagh
57772,"December 1, 2023 (United Kingdom)"
57843,Julian Gilbey
57910,Mitchell Lichtenstein
57951,Andy Tennant
58025,Doug Liman
58047,Adam Brooks
58078,Jieho Lee
58105,Mark Waters
58107,Jon M. Chu
58154,Justin Chadwick
58156,Kent Alterman
58162,David Schwimmer
58191,Alex Gibney
58287,Talia Lugacy
58291,Roger Kumble
58293,Roland Emmerich
58295,Roger Donaldson
58297,Neil Marshall
58299,Jimmy Hayward
58301,Michael Haneke
58303,"September 9, 2021 (United Kingdom)"
58306,Sergei Bodrov
58309,Sean Fine
58315,Marco Schnabel
58332,George A. Romero
58347,Mark Palansky
58351,Paulo Morelli
58376,Peter Joseph
58404,Dave Bullock
58425,Dean DeBlois
58492,David Gordon Green
58554,Ilmar Raag
58559,Christopher Nolan
58627,Jeff Wadlow
58655,Steven Brill
58783,Francis Ford Coppola
58803,Robert Luketic
58806,Noam Murro
58826,Isaac Florentine
58839,George Clooney
58842,Xiaogang Feng
58870,Takashi Miike
58876,Kimberly Peirce
58879,Martin Scorsese
58964,"October 7, 2021 (United Kingdom)"
58972,Jennifer Flackett
58975,Carter Smith
58998,Nicholas Stoller
59014,Craig Mazin
59016,David Ayer
59018,Tom McCarthy
59022,Contact info
59026,Jan Kounen
59037,Lana Wachowski
59103,Rob Minkoff
59118,Mike Leigh
59126,Larry Charles
59129,Steve Barker
59131,Andy Hurst
59141,Garth Jennings
59143,Michael Blieden
59220,John Jeffcoat
59258,Michael McCullers
59295,Nathan Frankowski
59306,Nelson McCormick
59315,Jon Favreau
59333,Paul Weiland
59336,David Mamet
59369,Pierre Morel
59387,Tarsem Singh
59421,Tom Vaughan
59429,Andrew Waller
59440,Alejandro Monteverde
59501,Andrew Adamson
59549,Jonah Markowitz
59604,Gregory Wilson
59615,Steven Spielberg
59667,Pratibha Parmar
59725,Michael Patrick King
59727,Bryan Bertino
59731,Chris Bell
59738,Jonathan Levine
59784,Mark Osborne
59810,Jay Roach
59814,Koen Mortier
59900,Dennis Dugan
59915,Stuart Gordon
59947,James Glickenhaus
59985,Marcos Siega
59995,John Crowley
60030,Adam Green
60037,M. Night Shyamalan
60040,Louis Leterrier
60046,Roger Spottiswoode
60069,Andrew Stanton
60072,Timur Bekmambetov
60074,Peter Berg
60126,Peter Segal
60128,Martin Gero
60141,Oliver Parker
60161,Peter Avanzino
60289,Patricia Rozema
60291,Alex Gibney
60293,Jonathan Levine
60303,Sion Sono
60333,Zal Batmanglij
60363,Jay Lee
60365,Jules Bass
60389,Nick Broomfield
60397,Phyllida Lloyd
60408,Dany Boon
60471,Greg McLean
60487,Bill Melendez
60514,Eric Brevig
60516,Brian Robbins
60522,Noboru Iguchi
60538,Paddy Breathnach
60647,Brad Anderson
60674,Martin Wood
60684,Zack Snyder
60735,Jeff Nichols
60737,Paul Soter
60753,Ric Roman Waugh
60756,Adam McKay
60760,Chris Carter
60766,James Marsh
60803,Jules Bass
60818,Paula Nightingale
60832,Marc Schölermann
60857,Bruce McDonald
60885,Simon Kinberg
60894,John Maybury
60904,Vladimir Bortko
60937,Rob Cohen
60941,Ryûhei Kitamura
60943,Courtney Hunt
60950,Woody Allen
60979,Yasuhiro Aoki
61011,Paul Schrader
61024,David Gordon Green
61026,John Woo
61071,Sanaa Hamri
61073,Larry Bishop
61123,Kenny Ortega
61132,Ben Stiller
61160,George Lucas
61167,Mark Pellington
61210,Simon Hunter
61236,Ari Folman
61240,"November 17, 2022 (United Kingdom)"
61246,Andrew Fleming
61248,Paul W.S. Anderson
61250,Fred Wolf
61255,Peter Cattaneo
61257,Patrick Creadon
61262,Alexandre Aja
61289,Takashi Miike
61319,Shane Meadows
61323,Ethan Coen
61348,Jason Friedberg
61350,Mathieu Kassovitz
61352,Jeffrey Nachmanoff
61394,Tom Kuntz
61401,Frank Miller
61406,Paul Giamatti
61465,Danny Pang
61628,Yang Zhang
61692,Eduardo Sánchez
61705,Neil LaBute
61729,David Koepp
61818,Lance Mungia
61986,Ed Harris
62008,Frank Sudol
62081,D.J. Caruso
62113,Robert B. Weide
62155,Peter Sollett
62208,Not available
62250,Matteo Garrone
62293,Saul Dibb
