movieId,director
4389,Léa Pool
4390,Not available
4392,Woody Allen
4393,Woody Allen
4394,William Asher
4395,Not available
4396,Hal Needham
4397,Hal Needham
4399,Luis Buñuel
4402,Norman Taurog
4403,Roger Corman
4404,F.W. Murnau
4406,John Ford
4407,Oliver Stone
4408,Woody Allen
4409,Woody Allen
4410,Jonathan Demme
4412,Lee Frost
4419,Douglas Sirk
4420,Joseph L. Mankiewicz
4422,Ingmar Bergman
4424,Vittorio De Sica
4426,Robert Aldrich
4427,Anthony Harvey
4428,John Huston
4429,John Huston
4432,Alexander Mackendrick
4433,Douglas Sirk
4434,Elio Petri
4436,Brian De Palma
4437,Dario Argento
4438,Rudy Ruiz
4439,Uli Edel
4440,Bruce Lee
4441,Robert Clouse
4442,Michael Schultz
4443,Peter Hyams
4444,Not available
4445,Brett Leonard
4446,Hironobu Sakaguchi
4447,Robert Luketic
4448,Frank Oz
4449,Roger Gnoan M'Bala
4450,Larry Clark
4451,Joel Hopkins
4452,Jon Favreau
4453,Don Kempf
4454,Olympia Dukakis
4458,George Casey
4459,George Casey
4462,Paul Flaherty
4463,Marty Young
4464,Lawrence Kasdan
4465,Jonathan Kaplan
4466,Andrew Davis
4467,Terry Gilliam
4470,Aki Kaurismäki
4471,Bud Yorkin
4473,Peter Markle
4474,Garry Marshall
4475,Kevin Reynolds
4476,Jim Abrahams
4477,Randal Kleiser
4478,Mike Nichols
4480,Chuck Russell
4482,James Bridges
4483,Allan Arkush
4484,Bruno Nuytten
4487,Roger Donaldson
4488,Dennis Hopper
4489,John Landis
4490,Michael Ritchie
4492,Stephen Herek
4495,Joan Micklin Silver
4496,Annabel Jankel
4497,Mark Goldblatt
4498,Buddy Van Horn
4499,Frank Oz
4500,Peter Greenaway
4502,John R. Cherry III
4504,Daniel Goldberg
4505,John G. Avildsen
4506,Roman Polanski
4508,Michael Apted
4509,Howard Deutch
4511,Neil Jordan
4516,Bud S. Smith
4517,Frank LaLoggia
4518,Ken Russell
4519,Don Bluth
4520,Greg Beeman
4521,Richard Benjamin
4522,Bob Swaim
4523,Robert Redford
4524,Paul Mazursky
4526,Richard Benjamin
4527,William Richert
4529,Percy Adlon
4531,Walter Hill
4533,Dan O'Bannon
4534,Geoff Burrowes
4535,George Miller
4537,Sidney Lumet
4541,Wes Craven
4544,Kenneth Johnson
4545,John Badham
4546,Benjamin Giordano
4552,Shin'ya Tsukamoto
4553,John Carpenter
4557,Francis Ford Coppola
4558,Ivan Reitman
4562,Thom Eberhardt
4563,Yahoo Serious
4564,Steven Spielberg
4565,Sam Firstenberg
4568,Robert Radler
4571,Contact info
4572,Ridley Scott
4573,Ron Shelton
4574,Phillip Noyce
4577,Brian De Palma
4578,Emile Ardolino
4580,Albert Pyun
4581,Gary David Goldberg
4583,Jim Kouf
4584,Marc Rocco
4585,Howard Zieff
4587,Julien Temple
4589,Martin Davidson
4591,Terry Jones
4593,Sidney Lumet
4594,John Milius
4595,Roland Joffé
4597,Graeme Clifford
4599,Jim McBride
4600,Not available
4602,Eddie Murphy
4603,Bruce Beresford
4605,Bruce Robinson
4608,Peter Yates
4610,Pat O'Connor
4611,Walter Hill
4612,Denys Arcand
4613,Rod Daniel
4614,Mark DiSalle
4615,Uli Edel
4616,John G. Avildsen
4617,Joe Pytka
4619,Richard Greenberg
4621,Amy Heckerling
4622,Joan Micklin Silver
4623,David S. Ward
4624,Peter Jackson
4625,Michael Anderson
4626,Steve De Jarnatt
4628,Woody Allen
4629,John Irvin
4630,Thomas J. Wright
4632,Andrew Davis
4634,Contact info
4635,Buddy Van Horn
4636,Mark Goldblatt
4638,Joe Johnston
4639,Joe Roth
4640,Joel Coen
4641,Terry Zwigoff
4642,John Cameron Mitchell
4643,Tim Burton
4644,Silvio Soldini
4645,Kiyoshi Kurosawa
4646,Joel Hershman
4649,David Wain
4653,Richard Lester
4654,Rowdy Herrington
4658,Alejandro Jodorowsky
4660,Paul Bartel
4661,Harold Becker
4662,Arthur Hiller
4663,Stan Dragoti
4666,Blake Edwards
4670,Joseph Ruben
4671,Jane Campion
4672,Mel Smith
4673,Contact info
4675,Francis Veber
4676,Jeff Kanew
4677,Contact info
4678,Jay Levey
4679,John Hughes
4681,Danny DeVito
4683,Todd Holland
4686,Robert Klane
4687,John Schlesinger
4688,Bruce Beresford
4689,Not available
4690,Francis Ford Coppola
4695,Karel Reisz
4700,Garry Marshall
4701,Brett Ratner
4703,Claire Denis
4704,Howard Hawks
4705,Édouard Molinaro
4708,Peter Brook
4709,Joshua Logan
4710,Don Siegel
4711,Steven M. Martin
4713,Ken Russell
4714,Buddy Van Horn
4715,Mike Newell
4717,Robert Clouse
4718,J.B. Rogers
4719,Bobby Farrelly
4720,Alejandro Amenábar
4721,Les Mayfield
4722,Julie Davis
4723,Scott McGehee
4725,Brad Anderson
4727,John Madden
4728,Jerry Zucker
4732,Blair Hayes
4733,Woody Allen
4734,Kevin Smith
4735,John Carpenter
4736,Michael Tollin
4738,Brad Anderson
4740,Ben Elton
4741,Not available
4743,Maria Ripoll
4744,Victor Salva
4745,Tim Blake Nelson
4748,Jon Turteltaub
4749,Charles T. Kanganis
4750,Shin Sang-ok
4754,Robin Hardy
4756,Peter Hyams
4757,Stephen Herek
4759,Mark Brown
4765,Michael Cuesta
4766,Not available
4769,Mark Jonathan Harris
4770,Daniel Sackheim
4771,Brian Robbins
4772,Bob Giraldi
4773,Jacob Kornbluth
4774,Barry Sonnenfeld
4775,Vondie Curtis-Hall
4777,Cory McAbee
4780,Stephen Frears
4782,Edward Burns
4783,George Butler
4784,Karel Reisz
4785,Not available
4786,John Hough
4787,Jodie Foster
4788,Not available
4789,Brian De Palma
4792,William Castle
4794,Dario Argento
4795,Ralph Nelson
4796,Stanley Donen
4798,Stanley Donen
4799,Stanley Kramer
4800,J. Lee Thompson
4801,William Wyler
4802,Blake Edwards
4803,Clint Eastwood
4804,Frank Capra
4808,George Sluizer
4809,Mike Nichols
4810,Anthony Page
4811,Franc Roddam
4812,Harry Winer
4813,Rudolph Maté
4814,Gary Fleder
4815,Scott Hicks
4816,Ben Stiller
4818,Eric Hannah
4821,John Dahl
4822,Tim Hill
4823,Peter Chelsom
4825,Sam Vinal
4826,Samuel Fuller
4827,Ulli Lommel
4828,Gregory Everett
4830,Stuart Rosenberg
4831,Nancy Walker
4833,Peter Medak
4835,Michael Apted
4836,Joel Oliansky
4840,François Truffaut
4844,Barry Levinson
4845,Rob Pritts
4846,Woo-Ping Yuen
4847,Catherine Breillat
4848,David Lynch
4849,Christine Lahti
4850,Hirotsugu Kawasaki
4852,Ernest R. Dickerson
4855,Don Siegel
4857,Norman Jewison
4860,Dorian Walker
4862,Brian Gilbert
4863,Masaru Konuma
4864,Stephen Low
4865,Albert Hughes
4866,Rod Lurie
4867,Penny Marshall
4871,Neal Slavin
4873,Richard Linklater
4874,Iain Softley
4876,Steve Beck
4877,Jonathan Teplitzky
4878,Richard Kelly
4879,Mel Smith
4880,Irwin Winkler
4881,Joel Coen
4883,Robert Guédiguian
4885,Harold Becker
4886,Pete Docter
4887,James Wong
4888,Richard Linklater
4889,David Mamet
4890,Bobby Farrelly
4893,Fred Walton
4896,Chris Columbus
4898,David Atkins
4899,Gil Junger
4900,Brendan Malloy
4901,Tony Scott
4902,Guillermo del Toro
4903,Todd Field
4909,Joel Schumacher
4911,Terry Gilliam
4912,William Wyler
4914,"September 19, 2024 (United Kingdom)"
4915,Don Coscarelli
4916,Jack Smight
4917,Joseph Sargent
4919,Luc Besson
4920,Irving Rapper
4921,George Cukor
4925,Robert Moore
4926,Not available
4927,Peter Weir
4928,Luis Buñuel
4929,Richard Donner
4932,Brian De Palma
4936,Alan Parker
4939,Don Taylor
4941,Mike Hodges
4942,Ib Melchior
4945,James Fargo
4946,Steve Carver
